#{"t_start": 1637425520.1133301, "env_id": null}
r,l,t
-1012.478421,76,2.875762
-1015.08824,14,3.084983
-1002.866058,9,3.262796
-1032.629131,276,5.943615
-1042.167036,41,6.412484
-988.42768,18,6.66142
-1044.657006,42,7.137261
-981.182147,59,7.740395
-992.398891,26,8.037864
-1045.87935,48,8.572244
-1007.141795,14,8.7621
-988.338309,237,11.032595
-1041.152998,23,11.323779
-984.207976,31,11.665825
-1006.063664,23,11.951088
-1041.033181,27,12.312675
-995.405945,50,12.845896
-1045.53356,50,13.399407
-1054.762322,31,13.761924
-1053.291306,39,14.168779
-1032.35046,47,14.711567
-1097.351425,49,15.236708
-1003.886524,33,15.661994
-1048.569874,27,15.954589
-1033.510898,39,16.38091
-1039.738293,37,16.876755
-1039.809574,41,17.444277
-1021.466692,53,17.969079
-1061.813297,36,18.341289
-1001.474642,114,19.456383
-992.94362,22,19.727532
-1041.235415,25,20.073551
-979.320806,34,20.578146
-964.872847,34,21.051625
-1011.674679,38,21.626825
-981.947577,29,22.011479
-1017.055314,42,22.477111
-1059.466833,92,23.367997
-1015.557224,20,23.626569
-1022.556499,36,24.047945
-1059.312123,46,24.535305
-1054.456983,43,25.016853
-981.227698,28,25.336658
-1008.460649,31,25.779148
-994.524164,20,26.019048
-1043.526452,39,26.430354
-1007.02287,16,26.645066
-1054.404919,43,27.105446
-1005.828714,19,27.357421
-1041.826657,41,27.79892
-1073.143908,54,28.389063
-1037.891659,41,28.843233
-1266.817838,283,31.516421
-486.554136,501,36.096794
-993.322506,20,36.334453
-1143.040696,136,37.586041
-983.193838,30,37.928191
-983.082093,27,38.265168
-980.23489,34,38.694383
-992.211331,11,38.901395
-1009.649139,14,39.100514
-1109.108572,72,39.81355
-1047.815081,28,40.114229
-1040.726098,70,40.801889
-1086.217925,47,41.312228
-1041.637483,42,41.754139
-974.408007,32,42.093775
-1000.2407,45,42.597452
-1036.796629,44,43.045644
-991.733684,54,43.602238
-1049.57757,55,44.141757
-1029.653568,48,44.707662
-999.93274,29,45.023406
-1026.228861,43,45.465037
-1057.512265,31,45.814874
-1023.108381,27,46.1189
-984.351751,54,46.64795
-1004.022551,41,47.092858
-998.678498,43,47.527488
-981.370658,29,47.860875
-998.888209,34,48.222174
-986.571956,23,48.498618
-985.054776,29,48.830007
-977.72221,36,49.248162
-1000.431512,40,49.668713
-988.589301,24,49.988638
-1034.143682,56,50.541803
-1022.674173,38,50.941403
-1091.919696,68,51.61755
-1081.752219,93,52.498462
-976.430042,33,52.874162
-989.033739,28,53.203416
-987.761322,16,53.409132
-1066.523965,42,53.836114
-1080.702149,65,54.457146
-976.572377,25,54.748193
-1010.815896,25,55.032555
-1040.683661,35,55.410812
-1021.129497,37,55.84118
-1030.398011,53,56.410177
-1047.250954,29,56.758654
-1021.524283,41,57.195154
-998.342534,25,57.500262
-1043.309413,24,57.804095
-974.387028,70,58.608551
-1006.290371,48,59.110001
-1045.59804,43,59.608022
-997.763001,78,60.363353
-1072.715805,39,60.767693
-1058.062057,42,61.209453
-1006.457541,11,61.38046
-1044.715005,50,61.879558
-985.257042,30,62.24668
-974.534944,29,62.598124
-1002.06765,22,62.920708
-969.122506,41,63.397775
-1046.374458,46,63.869006
-1009.27965,50,64.360347
-1035.442474,38,64.747955
-1022.750449,43,65.215099
