#{"t_start": 1637657677.3512754, "env_id": null}
r,l,t
-967.572631,41,2.437011
-1014.015584,13,2.633918
-1003.331969,10,2.826836
-1049.21061,37,3.2184
-997.958583,52,3.708319
-987.701547,19,3.914232
-999.585785,44,4.298117
-1050.009965,121,5.266362
-993.732471,22,5.493879
-1066.824958,106,6.342149
-1007.090619,14,6.51217
-931.141375,109,7.382451
-1062.715726,37,7.740066
-986.478688,32,8.0403
-1007.129861,25,8.296052
-1070.907199,55,8.809652
-946.804971,136,9.895764
-1069.434326,71,10.503127
-1179.171,158,11.760795
-1124.513151,77,12.400123
-1010.253501,95,13.211575
-1064.173406,34,13.523459
-987.89991,29,13.849243
-1064.631251,43,14.228802
-1041.196493,42,14.617672
-1013.069308,36,14.987918
-1069.832615,117,15.942776
-977.146324,34,16.266722
-1054.832201,29,16.545122
-982.340886,48,16.980992
-987.928523,25,17.235153
-1040.096777,26,17.498745
-976.252105,38,17.841604
-969.318242,34,18.177836
-1048.662363,78,18.81876
-971.321431,27,19.108706
-1059.164033,55,19.602343
-1080.919013,56,20.107612
-1017.803122,21,20.335016
-983.191782,45,22.383006
-1029.298508,34,22.701941
-988.111735,94,23.475862
-962.247664,139,24.557902
-1018.74157,29,24.91474
-940.351482,83,25.606976
-1086.074465,71,26.20115
-1006.30164,15,26.376731
-984.724411,134,27.456658
-1006.209303,19,27.678126
-959.476776,188,29.160514
-1021.157797,156,30.415239
-1001.512021,28,30.687071
-1034.589937,23,30.914877
-1039.812981,30,31.19672
-983.105678,26,31.451049
-1022.224113,22,31.694405
-981.313839,24,31.955146
-960.958542,41,32.357168
-943.463063,70,32.969677
-991.575292,12,33.172914
-1010.892365,15,33.358898
-1062.829623,34,33.694941
-1097.961712,59,34.206091
-965.645066,54,34.695696
-1059.183335,73,35.338735
-1061.191424,43,35.734975
-980.267321,50,36.170308
-1014.069831,42,36.580675
-1017.98553,107,37.432955
-1017.38507,81,38.094346
-1093.633189,110,38.986981
-977.607239,108,41.484994
-999.152931,30,41.78131
-976.030974,117,42.722057
-1043.423997,81,43.399019
-1013.738261,26,43.655639
-974.418863,53,44.125013
-1000.230193,50,44.591069
-994.947152,39,44.93804
-966.269598,46,45.362563
-990.848341,41,45.735086
-951.16983,222,47.467933
-939.327066,85,48.16009
-932.019881,92,48.905663
-1019.925583,91,49.650421
-970.431634,37,50.027965
-1003.059896,93,50.785302
-987.070103,96,51.560605
-1009.271586,49,51.992598
-1008.70472,34,52.304838
-809.452599,249,54.235843
-905.918153,109,55.128297
-986.832618,17,55.31914
-1043.304529,50,55.75334
-919.571465,197,57.276356
-976.059407,25,57.542505
-1018.132143,28,57.815495
-962.067185,160,60.651835
-997.896804,38,61.010854
-979.535584,47,61.425848
-1046.764193,29,61.716457
-977.992433,37,62.056333
-1000.363271,25,62.310611
-1076.104305,55,62.778737
-882.60609,134,63.90324
-936.600125,95,64.663313
-791.828907,301,66.963612
-916.103369,99,67.75568
-1059.769675,51,68.206192
-940.311936,313,70.595018
-1006.442538,11,70.757371
-991.193683,42,71.151973
-987.573985,25,71.441859
-974.888599,27,71.725394
-999.738652,20,71.961649
-961.996093,38,72.314738
-998.53481,52,72.768573
-983.171454,43,73.15466
-866.937407,287,75.363307
-959.069365,40,75.739836
-1047.573033,83,76.430943
-913.586993,141,79.145432
-969.344089,41,79.517821
-980.782835,30,79.806081
-1004.98886,23,80.04571
-911.499415,94,80.815197
-1024.671552,54,81.290303
-1048.749601,53,81.767978
-970.925414,40,82.147033
-987.421858,16,82.328713
-1029.869161,35,82.656178
-991.413452,84,83.344862
-1046.446866,44,83.735611
-977.338877,39,84.115034
-975.48044,40,84.492258
-1015.045102,13,84.65028
-908.397381,118,85.602168
-921.244276,109,86.49256
-976.504643,56,86.975432
-993.865989,84,87.658842
-1029.877008,46,88.188279
-986.937703,20,88.404568
-1021.738874,48,88.874313
-977.352457,30,89.188024
-980.843226,29,89.472939
-982.169995,18,89.669322
-1010.423527,54,90.140675
-979.724178,49,90.577086
-970.769538,109,91.464293
-1052.72024,55,91.943803
-1034.034242,66,92.495935
-984.918639,14,92.687009
-973.661375,29,92.964862
-1061.381239,59,93.484236
-1014.031416,49,93.935297
-935.302925,73,94.549869
-994.259409,20,94.766096
-987.404088,34,95.101829
-927.516166,111,96.020379
