Evaluation results for PPO id: optimized;

Map;zigzag_dists
Rewards;[137.482359, 175.106391, 150.93169, 121.295103, 199.452875, 137.835678, 97.231456, 141.38547, -0.610343, 121.793873]
Min;-0.610343
Max;199.452875
Mean;128.1904552
Stdev;128.1904552
Lengths;[500, 500, 500, 500, 500, 500, 500, 500, 29, 500]
Min;29
Max;500
Mean;452.9
Stdev;452.9

Map;small_loop
Rewards;[-0.441959, 164.373755, 0.126837, 176.887317, -0.134632, 0.022108, 163.415677, 155.640266, 168.523378, 109.457778]
Min;-0.441959
Max;176.887317
Mean;93.78705249999999
Stdev;93.78705249999999
Lengths;[25, 500, 35, 500, 34, 22, 500, 500, 500, 500]
Min;22
Max;500
Mean;311.6
Stdev;311.6

Map;udem1
Rewards;[148.292087, 148.657907, 135.95832, -0.483274, 1.455475, -0.292319, 2.157325, 130.931345, 141.06043, 0.203188]
Min;-0.483274
Max;148.657907
Mean;70.79404839999998
Stdev;70.79404839999998
Lengths;[500, 500, 500, 25, 19, 24, 24, 500, 500, 35]
Min;19
Max;500
Mean;262.7
Stdev;262.7

